itemnumber,checkouts,biblionumber,itemcallnumber,author,title
267773,883,181685,,,Writing Center Key
301921,60,348812,Pers Copy B 266,,Single Variable Calculus/COMPLETE SOLUTIONS MANUAL
308078,56,361061,Pers Copy B 537,,Accounting: Tools for Business Decision Making.
297586,52,342803,Pers Copy B 381,"Kostelnik, Soderman, Whiren & Rupiper",Developmentally Appropriate Curriculum: Best Practices in Early Childhood Education
306457,47,352136,Pers Copy B 519,,"Chemistry: An atoms focused approach. / GILBERT, KIRSS, FOSTER & BRETZ"
44727,44,32936,PS374.S5 E93 1997,"Evans, Robert C.",Short fiction :
250623,44,167125,PN1997 .S647 2003,,Spirited away
292817,43,316055,Pers Copy B 144,,FRN 221 Flashdrive
289196,39,202657,PN1992.77 .G353 2012,,Game of thrones
297396,38,342613,Pers Copy X 306,,Ghosts in the Nursery
288674,37,202171,MT820 .M595 2008,"Miller, Donald Gray,",Resonance in singing :
297393,36,342612,Pers Copy x 311,,Cognitive Behavior Therapy Basics and Beyond. 
297555,34,342774,Pers Copy B 385,"McMurry, Susan.",Organic Chemistry. 
288649,33,202147,RF510 .V633 2006,,Vocal health and pedagogy /
262340,32,177097,PN1997 .P7462 2000,,Princess Mononoke
296090,32,330638,PN1997 .G826 2014,,Guardians of the galaxy
288675,30,202172,MT821 .M34 2012,"McCoy, Scott Jeffrey",Your voice :
298460,30,347059,Pers Copy B 475,,Chemistry atoms first
284584,29,196122,PN1997 .T3634 2011,,Tangled
300009,29,347789,MT821 .M24 2013,,What every singer needs to know about the body /
315156,29,366745,HM586 .S64 2019,,"Sociology, exploring the architecture of everyday life :"
177917,27,115575,PR2981 .B3,"Barber, C. L.",Shakespeare's festive comedy;
292187,27,207184,PN1997 .H3782 2002,,Harry Potter and the sorcerer's stone
294496,27,318078,PN1992.77 .G3532 2013,,Game of thrones :
296152,27,330700,PN1992.77 .G3534 2015,,Game of thrones
301684,27,348669,QP306 .L355 2014,"LeBorgne, Wendy DeLeo,",The vocal athlete /
306456,27,352135,Pers Copy B 518,,STUDENT SOLUTIONS MANUAL Chemistry: An atoms focused approach /Brewer
288197,26,201708,PN1997 .M96 2010,,My neighbor Totoro
299274,26,347403,PN1992.77 .G3535 2016,,Game of thrones
301920,26,348811,Pers Copy B 204,,Single Variable Calculus/STUDENT SOLUTION MANUAL
272512,25,185466,PN1995.9.F6735 B437 2006,,Before the fall
279425,25,191522,PN1997 .U66 2009,,Up
286215,25,197680,PN1997 .A7477 2008,,The aristocats
300270,25,347899,N5300 .J3 2016,,Janson's History of art :
300982,25,348388,PN1997 .D4226 2016,,Deadpool
303257,25,349655,PErs Copy B 502,,Developing Profiles Pre Birth through Adolescence.
293042,24,316298,LD131.A62 B45 2014,"Beld, Gordon,",A history of Alma College :
296269,24,330819,PN1997 .B537 2015,,Big hero 6
69381,23,49439,Headphones,,Headphones.
154015,23,97678,N7760 .C27 1990,"Carpenter, Thomas H.",Art and myth in ancient Greece :
262341,23,177098,PN1997 .K545 2003,,Kiki's delivery service
289319,23,202789,PN1997 .B728 2012,,Brave
297392,23,342612,Pers Copy x 311 C.2,,Cognitive Behavior Therapy Basics and Beyond. 
301851,23,348741,Pers Copy B 179,,The Norton Field Guide to Writing with Readings and Handbook.
306473,23,352137,Pers Copy B 514,,Tumba. / M. Canion
281572,22,193384,PN 1997 .P7465 2010,,The princess and the frog
297394,22,342613,Pers Copy X 306,,Ghosts in the Nursery
301800,22,348728,Pers Copy B 601,,Inclusive Strategies for Young Children / MOORE
303087,22,349394,PN 1992.77 .G336 2016,,Game of thrones.
258392,21,173896,PN1997 .D42 2006,,Dead Poets Society
273414,21,186262,PN1997 .H3785 2007,,Harry Potter and the Order of the Phoenix
277962,21,190244,PN1997 .T944 2009,,Twilight
289360,21,202827,PN1997 .S5376 2006,,She's the man
294154,21,317741,PN1992.77 .G3533 2014,,Game of thrones
295844,21,330369,PN1997 .P766 2009,,The proposal
303254,21,349629,Pers Copy B 181,,Yardsticks: Children in the Classroom Ages 4-14/WOOD
274194,20,186993,PN1997 .H3784 2007,,Harry Potter and the prisoner of Azkaban
289030,20,202497,PN1997 .A9363 2012,,Marvel's The Avengers
292648,20,208232,MT820 .B795 2013,"Bozeman, Kenneth.",Practical vocal acoustics :
311151,20,363526,PZ73.C364 Tum 2017,,Tumba /
245922,19,163873,PN1997 .L673 2002,,"The lord of the rings, the fellowship of the ring"
250263,19,166865,PN1997 .H378 2003,,Harry Potter and the chamber of secrets
280069,19,192088,PN1997 .H3786 2009,,Harry Potter and the Half-Blood Prince
